Disease,Medicine_Name,Category,Purpose,Dosage,Side_Effects
Fungal infection,Remdesivir,Antiviral,Treats viral infections,250mg twice daily,"Fatigue, Vomiting"
Allergy,Ibuprofen,Painkiller,Reduces pain and fever,500mg once daily,"Constipation, Rash"
GERD,Dolo-650,Painkiller,Reduces pain and fever,500mg thrice daily,"Fatigue, Headache"
Chronic cholestasis,Esomeprazole,Antacid,Reduces stomach acid and heartburn,100mg twice daily,"Fatigue, Headache"
Drug Reaction,Favipiravir,Antiviral,Treats viral infections,500mg thrice daily,"Headache, Fatigue"
Peptic ulcer diseae,Esomeprazole,Antacid,Reduces stomach acid and heartburn,100mg twice daily,"Nausea, Dizziness"
AIDS,Vitamin D,Vitamin,Improves nutritional health,500mg once daily,"Fatigue, Headache"
Diabetes ,Hydrocortisone,Steroid,Reduces inflammation and immune response,250mg twice daily,"Nausea, Loss of appetite"
Gastroenteritis,Cetirizine,Antihistamine,Relieves allergy symptoms,250mg once daily,"Headache, Nausea"
Bronchial Asthma,Dexamethasone,Steroid,Reduces inflammation and immune response,250mg once daily,"Loss of appetite, Nausea"
Hypertension ,Clotrimazole,Antifungal,Treats fungal infections,100mg thrice daily,"Nausea, Rash"
Migraine,Clotrimazole,Antifungal,Treats fungal infections,100mg once daily,"Loss of appetite, Rash"
Cervical spondylosis,Atenolol,Cardiac,Manages blood pressure and heart conditions,100mg once daily,"Dizziness, Drowsiness"
Paralysis (brain hemorrhage),Amoxicillin,Antibiotic,Treats bacterial infections,250mg twice daily,"Headache, Nausea"
Jaundice,Amoxicillin,Antibiotic,Treats bacterial infections,250mg once daily,"Diarrhea, Drowsiness"
Malaria,Folic Acid,Vitamin,Improves nutritional health,500mg twice daily,"Constipation, Nausea"
Chicken pox,Metformin,Antidiabetic,Controls blood sugar levels,100mg thrice daily,"Diarrhea, Nausea"
Dengue,Ketoconazole,Antifungal,Treats fungal infections,250mg thrice daily,"Drowsiness, Diarrhea"
Typhoid,Vitamin C,Vitamin,Improves nutritional health,250mg thrice daily,"Fatigue, Vomiting"
hepatitis A,Sitagliptin,Antidiabetic,Controls blood sugar levels,100mg twice daily,"Diarrhea, Fatigue"
Hepatitis B,Hydrocortisone,Steroid,Reduces inflammation and immune response,250mg twice daily,"Vomiting, Nausea"
Hepatitis C,Vitamin D,Vitamin,Improves nutritional health,100mg once daily,"Rash, Loss of appetite"
Hepatitis D,Multivitamin,Vitamin,Improves nutritional health,250mg once daily,"Rash, Vomiting"
Hepatitis E,Remdesivir,Antiviral,Treats viral infections,250mg thrice daily,"Vomiting, Headache"
Alcoholic hepatitis,Folic Acid,Vitamin,Improves nutritional health,500mg thrice daily,"Drowsiness, Constipation"
Tuberculosis,Esomeprazole,Antacid,Reduces stomach acid and heartburn,250mg thrice daily,"Dizziness, Rash"
